,Season,Year,Month,Hour,Holiday,Weekday,Working day,Weather situation,Temperature (normalized),Feels-like temperature (normalized),Humidity (normalized),Windspeed,Rental bikes count
3301,Fall,1,12,17,0,1,1,Clear or partly cloudy,0.52,0.5,0.63,0.1045,708
3302,Fall,0,11,23,0,0,0,Clear or partly cloudy,0.48,0.4697,0.72,0.2537,32
3303,Fall,0,9,13,0,0,0,Misty and/or cloudy,0.68,0.6364,0.74,0.0,369
3304,Spring,1,4,11,0,5,1,Clear or partly cloudy,0.46,0.4545,0.36,0.1343,233
3305,Spring,0,4,21,0,2,1,Clear or partly cloudy,0.62,0.5909,0.78,0.2836,195
3306,Winter,0,3,10,0,2,1,Misty and/or cloudy,0.32,0.3182,0.66,0.194,78
3307,Summer,1,6,7,0,4,1,Misty and/or cloudy,0.7,0.6667,0.84,0.0896,463
3308,Winter,1,2,6,0,6,0,Clear or partly cloudy,0.24,0.2879,0.7,0.0,9
3309,Winter,1,2,3,0,5,1,Clear or partly cloudy,0.26,0.2879,0.56,0.0896,5
3310,Summer,0,8,22,0,3,1,Clear or partly cloudy,0.64,0.6061,0.69,0.0,157
3311,Spring,1,4,7,0,2,1,Clear or partly cloudy,0.6,0.6212,0.43,0.2537,461
3312,Fall,0,10,16,0,6,0,Misty and/or cloudy,0.4,0.4091,0.76,0.2985,223
3313,Winter,0,1,1,0,1,1,Clear or partly cloudy,0.22,0.2121,0.64,0.2537,7
3314,Spring,0,6,15,0,5,1,Clear or partly cloudy,missing,0.6364,0.28,0.2836,212
3315,Summer,0,7,7,0,1,1,Clear or partly cloudy,0.68,0.6364,0.74,0.2239,277
3316,Winter,1,2,19,0,4,1,Clear or partly cloudy,0.38,0.3939,0.43,0.5224,327
3317,Summer,1,7,missing,0,0,0,Clear or partly cloudy,0.68,0.6364,0.79,0.1045,10
3318,Winter,0,2,9,0,6,0,Misty and/or cloudy,0.26,0.2576,0.56,0.1642,74
3319,Summer,0,8,13,0,3,1,Clear or partly cloudy,0.74,0.6515,0.37,0.1045,221
3320,Summer,1,6,20,0,6,0,Clear or partly cloudy,0.78,0.6818,0.31,0.194,386
3321,Summer,0,9,22,0,1,1,Clear or partly cloudy,0.62,0.5758,0.83,0.1642,150
3322,Winter,0,1,10,0,5,1,Light snow or light rain,0.18,0.2121,0.86,0.1045,49
3323,Summer,missing,8,20,0,5,1,Light snow or light rain,0.62,0.5758,0.83,0.2985,58
3324,Fall,0,11,7,0,5,1,Misty and/or cloudy,0.4,0.4091,0.86,0.2239,245
3325,Spring,1,6,6,0,1,1,Clear or partly cloudy,0.62,0.5758,0.83,0.1045,144
3326,Summer,1,8,18,0,4,1,Clear or partly cloudy,0.8,0.7121,0.38,0.1343,853
3327,Winter,0,1,1,0,5,1,Clear or partly cloudy,0.1,0.1212,0.54,0.1642,5
3328,Winter,0,12,16,0,4,1,Misty and/or cloudy,0.46,0.4545,0.63,0.0,256
3329,Summer,0,9,20,0,0,0,Clear or partly cloudy,0.74,0.697,0.7,0.2985,229
3330,Winter,1,2,0,0,3,1,Clear or partly cloudy,0.32,0.3333,0.53,0.1045,32
3331,Spring,0,4,17,0,6,0,Misty and/or cloudy,0.38,0.3939,0.82,0.0896,257
3332,Winter,1,3,11,0,6,0,Misty and/or cloudy,0.4,0.4091,0.87,0.0896,214
3333,Summer,1,8,12,0,5,1,Misty and/or cloudy,0.86,0.8182,0.5,0.2985,338
3334,Fall,0,12,12,0,6,0,Clear or partly cloudy,0.36,0.3788,0.5,0.0,358
3335,Summer,0,8,7,0,4,1,Misty and/or cloudy,0.68,0.6364,0.79,0.3284,313
3336,Winter,1,2,1,0,0,0,Misty and/or cloudy,0.24,0.2576,0.93,0.1045,51
3337,Spring,1,4,13,0,1,1,Light snow or light rain,0.34,0.303,0.66,0.3881,107
3338,Winter,0,3,17,0,4,1,Misty and/or cloudy,0.44,0.4394,0.0,0.3881,111
3339,Fall,1,11,12,0,3,1,Misty and/or cloudy,0.32,0.303,0.53,0.2836,212
3340,Spring,1,4,17,0,1,1,Clear or partly cloudy,0.5,0.4848,0.29,0.2836,729
3341,Fall,0,12,18,0,2,1,Misty and/or cloudy,0.46,0.4545,1.0,0.2836,304
3342,Winter,0,12,8,0,4,1,Misty and/or cloudy,0.2,0.2576,0.64,0.0,210
3343,Winter,1,12,21,0,4,1,Misty and/or cloudy,0.24,0.2273,0.6,0.2537,63
3344,Winter,1,1,4,0,0,0,Light snow or light rain,0.16,0.1364,0.8,0.2836,2
3345,Spring,1,5,10,0,3,1,Misty and/or cloudy,0.58,0.5455,0.83,0.1045,175
3346,Spring,1,4,15,0,5,1,Clear or partly cloudy,0.52,0.5,0.29,0.4925,324
3347,Winter,0,3,9,0,6,0,Clear or partly cloudy,0.28,0.2879,0.65,0.1045,101
3348,Summer,1,7,19,0,6,0,Clear or partly cloudy,0.68,0.6364,0.83,0.0,338
3349,Summer,1,7,22,0,2,1,Clear or partly cloudy,0.68,0.6364,0.79,0.194,177
3350,Spring,0,3,6,0,0,0,Light snow or light rain,0.16,0.1818,0.86,0.1343,2
3351,Fall,1,10,17,0,6,0,Clear or partly cloudy,0.54,0.5152,0.49,0.3881,610
3352,Winter,0,12,23,1,1,0,Clear or partly cloudy,0.26,0.2727,0.7,0.1045,29
3353,Spring,0,3,13,0,1,1,Misty and/or cloudy,0.5,0.4848,0.63,0.2239,112
3354,Fall,0,9,18,0,6,0,Clear or partly cloudy,0.64,0.5909,0.78,0.1045,400
3355,Fall,0,11,17,0,3,1,Misty and/or cloudy,0.48,0.4697,0.88,0.194,233
3356,missing,1,1,3,0,1,1,Clear or partly cloudy,0.24,0.2424,0.52,0.1642,3
3357,Winter,1,1,10,0,1,1,Misty and/or cloudy,0.2,0.2576,0.93,0.0,149
3358,Fall,1,12,22,0,1,1,Misty and/or cloudy,0.42,0.4242,0.94,0.1343,54
3359,Spring,1,5,3,0,4,1,Misty and/or cloudy,0.6,0.5455,0.88,0.1045,4
3360,Winter,1,2,7,0,4,1,Clear or partly cloudy,0.2,0.197,0.69,0.2537,267
3361,Spring,0,5,22,0,0,0,Clear or partly cloudy,0.66,0.5909,0.89,0.1343,171
3362,Spring,0,4,22,0,2,1,Clear or partly cloudy,0.32,0.303,0.49,0.2985,46
3363,Summer,1,9,22,0,0,0,Clear or partly cloudy,0.56,0.5303,0.68,0.0896,127
3364,Summer,0,7,14,0,2,1,Clear or partly cloudy,0.8,0.7424,0.49,0.1642,178
3365,Summer,1,9,9,0,1,1,Clear or partly cloudy,0.6,0.6212,0.53,0.2985,361
3366,Winter,0,2,11,0,2,1,Clear or partly cloudy,0.22,0.1818,0.47,0.4627,50
3367,Summer,0,9,10,0,0,0,Clear or partly cloudy,0.7,0.6515,0.65,0.0,334
3368,Spring,0,5,1,0,3,1,Misty and/or cloudy,0.5,0.4848,0.59,0.1045,20
3369,Fall,1,11,9,0,5,1,Clear or partly cloudy,0.28,0.2879,0.75,0.1045,112
3370,Summer,1,6,20,0,2,1,Clear or partly cloudy,0.7,0.6364,0.3,0.2836,505
3371,Spring,0,6,3,0,5,1,Clear or partly cloudy,0.56,0.5303,0.94,0.1045,6
3372,Winter,0,12,14,0,5,1,Misty and/or cloudy,0.4,0.4091,0.47,0.0896,245
3373,Fall,0,10,20,1,1,0,Clear or partly cloudy,0.6,0.5909,0.73,0.0,225
3374,Spring,0,4,3,0,3,1,Misty and/or cloudy,0.58,0.5455,0.88,0.2836,7
3375,Summer,0,8,9,0,3,1,Clear or partly cloudy,0.64,0.6061,0.69,0.0896,244
3376,Winter,1,1,7,0,2,1,Misty and/or cloudy,0.32,0.3333,0.93,0.1343,232
3377,Spring,1,4,17,0,5,1,Clear or partly cloudy,0.56,0.5303,0.24,0.1642,738
3378,Fall,1,10,22,0,4,1,Misty and/or cloudy,0.54,0.5152,0.83,0.0896,207
3379,Fall,0,11,22,0,6,0,Misty and/or cloudy,0.38,0.3939,0.62,0.1642,106
3380,Winter,0,3,12,0,0,0,Misty and/or cloudy,0.46,0.4545,0.94,0.3284,79
3381,Fall,0,11,8,0,6,0,Clear or partly cloudy,0.26,0.2576,0.7,0.194,101
3382,Summer,0,8,1,0,0,0,Light snow or light rain,0.64,0.5758,0.89,0.2239,73
3383,Fall,1,10,10,0,4,1,Misty and/or cloudy,0.54,0.5152,0.83,0.1343,225
3384,Fall,1,11,13,0,0,0,Clear or partly cloudy,0.54,0.5152,0.45,0.1045,686
3385,Fall,0,11,17,0,5,1,Clear or partly cloudy,0.42,0.4242,0.38,0.3582,480
3386,Spring,0,3,11,0,6,0,Clear or partly cloudy,0.28,0.2727,0.38,0.1642,168
3387,Fall,1,10,12,0,0,0,Misty and/or cloudy,0.42,0.4242,0.71,0.0,392
3388,Fall,0,11,16,0,2,1,missing,0.52,0.5,0.68,0.1343,271
3389,Fall,1,11,12,0,5,1,Clear or partly cloudy,0.44,0.4394,0.38,0.2537,379
3390,Summer,1,missing,15,0,1,1,Clear or partly cloudy,0.8,0.7576,0.55,0.194,281
3391,Fall,1,12,3,0,0,0,Misty and/or cloudy,0.26,0.303,0.93,0.0,25
3392,Fall,0,10,3,0,4,1,Light snow or light rain,0.46,0.4545,0.94,0.0,4
3393,Summer,1,8,3,0,2,1,Clear or partly cloudy,0.7,0.6667,0.84,0.0,6
3394,Spring,0,4,1,0,5,1,Clear or partly cloudy,0.36,0.3333,0.53,0.2537,24
3395,Fall,0,11,17,0,2,1,Misty and/or cloudy,0.5,0.4848,0.72,0.194,451
3396,Winter,0,2,20,0,1,1,Clear or partly cloudy,0.36,0.3182,0.46,0.4627,70
3397,Summer,1,7,3,0,2,1,Clear or partly cloudy,0.66,0.6061,0.83,0.0896,6
3398,Winter,1,3,2,0,2,1,Light snow or light rain,0.52,0.5,0.72,0.2985,1
3399,Winter,0,3,20,0,2,1,Misty and/or cloudy,0.34,0.3182,0.71,0.2836,88
3400,Summer,1,7,4,0,6,0,Clear or partly cloudy,0.7,0.6667,0.79,0.194,11
3401,Spring,0,5,4,0,4,1,Clear or partly cloudy,0.42,0.4242,0.94,0.0,6
3402,Summer,0,8,7,0,4,1,Misty and/or cloudy,0.68,0.6364,0.89,0.2985,282
3403,Spring,1,5,8,0,5,1,Clear or partly cloudy,0.46,0.4545,0.44,0.2537,620
3404,Summer,0,6,4,0,4,1,Misty and/or cloudy,0.7,0.6667,0.79,0.1343,7
3405,Summer,1,8,21,0,4,1,Clear or partly cloudy,0.7,0.6515,0.61,0.1343,329
3406,Fall,1,10,19,0,0,0,Clear or partly cloudy,0.56,0.5303,0.64,0.2239,336
3407,Summer,1,7,15,0,0,0,Clear or partly cloudy,0.9,0.8182,0.37,0.2836,345
3408,Fall,0,10,18,0,2,1,Misty and/or cloudy,0.6,0.5758,0.78,0.2239,539
3409,Spring,0,4,1,0,1,missing,Clear or partly cloudy,0.46,0.4545,0.94,0.2836,4
3410,Summer,1,8,2,0,5,1,Clear or partly cloudy,0.66,0.5909,0.89,0.1343,20
3411,Fall,1,10,13,0,3,1,Clear or partly cloudy,0.66,0.6212,0.54,0.0,306
3412,Summer,0,9,14,0,0,0,Clear or partly cloudy,0.78,0.7576,0.66,0.3284,361
3413,Winter,0,1,20,0,2,1,Clear or partly cloudy,0.24,0.2576,0.48,0.1045,54
3414,Fall,1,10,10,0,5,1,Misty and/or cloudy,0.54,0.5152,0.88,0.1045,197
3415,Fall,0,12,8,0,2,1,Clear or partly cloudy,0.2,0.2273,0.69,0.1045,400
3416,Summer,1,8,1,0,3,1,Clear or partly cloudy,0.72,0.697,0.79,0.0,23
3417,Spring,0,5,16,0,4,1,Clear or partly cloudy,0.58,0.5455,0.24,0.4179,269
3418,Spring,0,4,15,0,1,1,Clear or partly cloudy,0.74,0.6667,0.51,0.2239,175
3419,Summer,1,6,23,0,5,1,Light snow or light rain,0.82,0.8333,0.63,0.194,48
3420,Fall,1,10,16,0,3,1,Clear or partly cloudy,0.56,0.5303,0.52,0.194,466
3421,Spring,1,6,13,0,5,1,Clear or partly cloudy,0.74,0.6515,0.37,0.2537,416
3422,Summer,0,9,1,0,2,1,Clear or partly cloudy,0.58,0.5455,0.83,0.1045,10
3423,Spring,0,6,12,0,6,0,Clear or partly cloudy,0.8,0.7576,0.55,0.2239,347
3424,Spring,1,6,2,0,4,1,Clear or partly cloudy,0.52,0.5,0.77,0.0896,12
3425,Winter,1,1,17,0,5,1,Clear or partly cloudy,0.42,0.4242,0.5,0.5821,422
3426,Spring,0,6,12,0,4,1,Clear or partly cloudy,0.92,0.8485,0.35,0.194,140
3427,Fall,1,10,20,0,1,1,Clear or partly cloudy,0.5,0.4848,0.59,0.1045,403
3428,Summer,1,7,16,0,4,1,Clear or partly cloudy,0.94,0.8788,0.38,0.3881,374
3429,Fall,1,10,8,0,4,1,Clear or partly cloudy,0.64,0.5758,0.89,0.0,738
3430,Summer,0,7,1,0,2,1,Clear or partly cloudy,0.7,0.6667,0.79,0.1045,12
3431,Summer,1,6,22,0,4,1,Clear or partly cloudy,0.76,0.697,0.52,0.1642,274
3432,Spring,1,4,20,0,1,1,Misty and/or cloudy,0.32,0.3182,0.76,0.1642,203
3433,Winter,0,missing,23,0,6,0,Clear or partly cloudy,0.26,0.2576,0.93,0.2239,59
3434,Fall,0,12,2,0,6,0,Clear or partly cloudy,0.26,0.2576,0.65,0.1642,50
3435,Winter,1,12,14,0,6,0,Misty and/or cloudy,0.24,0.2424,0.87,0.0896,98
3436,Summer,1,7,16,0,0,0,Clear or partly cloudy,0.74,0.697,0.66,0.1045,628
3437,Winter,0,2,7,0,0,0,Clear or partly cloudy,0.24,0.2424,0.65,0.1642,8
3438,Summer,0,9,3,0,6,0,Clear or partly cloudy,0.58,0.5455,1.0,0.1343,37
3439,Fall,0,10,23,0,0,0,Clear or partly cloudy,0.56,0.5303,0.52,0.4179,62
3440,Summer,1,9,missing,0,1,1,Clear or partly cloudy,0.56,0.5303,0.49,0.1642,285
3441,Winter,1,3,12,0,5,1,Clear or partly cloudy,0.4,0.4091,0.43,0.1642,234
3442,Fall,missing,11,8,0,3,1,Clear or partly cloudy,0.32,0.3485,0.87,0.0,472
3443,Winter,1,3,4,0,2,1,Misty and/or cloudy,0.52,0.5,0.88,0.1343,6
3444,Fall,1,9,missing,0,5,1,Misty and/or cloudy,0.66,0.6212,0.69,0.0,361
3445,Spring,0,5,3,0,1,1,Clear or partly cloudy,0.44,0.4394,0.77,0.1343,16
3446,Summer,0,9,18,0,4,1,Light snow or light rain,0.64,0.5606,0.94,0.3582,68
3447,Summer,0,8,10,0,2,1,Clear or partly cloudy,0.7,0.6515,0.58,0.3881,111
3448,Summer,0,6,10,0,5,1,Clear or partly cloudy,0.8,0.7273,0.43,0.2836,145
3449,Spring,1,3,0,0,4,1,Clear or partly cloudy,0.52,0.5,0.83,0.0896,41
3450,Summer,1,8,22,0,1,1,Misty and/or cloudy,0.6,0.5606,0.83,0.0,161
3451,Fall,0,12,14,0,4,1,Misty and/or cloudy,0.52,missing,0.52,0.3284,132
3452,Fall,0,10,20,0,1,1,Clear or partly cloudy,0.4,0.4091,0.66,0.0896,172
3453,Summer,0,9,8,0,2,1,Clear or partly cloudy,0.6,0.5606,0.81,0.1045,425
3454,Summer,0,8,21,0,0,0,Clear or partly cloudy,0.7,0.6667,0.79,0.2537,138
3455,Spring,0,4,14,0,2,1,Misty and/or cloudy,0.36,0.3182,0.57,0.4925,76
3456,Summer,0,8,9,0,5,1,Clear or partly cloudy,0.72,0.6515,0.34,0.1343,205
3457,Spring,0,5,10,0,2,1,Misty and/or cloudy,0.56,0.5303,0.37,0.0896,127
3458,Summer,0,9,13,0,4,1,Misty and/or cloudy,0.72,0.6667,0.48,0.0896,219
3459,Summer,0,8,20,0,6,0,Misty and/or cloudy,0.68,0.6364,0.83,0.2239,183
3460,Winter,1,2,16,0,2,1,Clear or partly cloudy,0.42,0.4242,0.28,0.0896,287
3461,Fall,0,12,10,0,2,1,Clear or partly cloudy,0.3,0.303,0.52,0.1642,102
3462,Spring,0,6,16,0,0,0,Misty and/or cloudy,0.76,0.6818,0.48,0.0,378
3463,Spring,1,4,6,0,6,0,Clear or partly cloudy,0.32,0.3182,0.36,0.194,19
3464,Summer,0,8,21,0,4,1,Misty and/or cloudy,0.7,0.6667,0.74,0.194,211
3465,Summer,1,8,12,0,6,0,Clear or partly cloudy,0.86,0.7879,0.4,0.3582,547
3466,Spring,1,5,19,0,2,1,Misty and/or cloudy,0.64,0.6061,0.69,0.2836,458
3467,Fall,1,11,5,0,5,1,Misty and/or cloudy,0.32,0.3182,0.66,0.1642,26
3468,Summer,0,7,6,0,0,0,Clear or partly cloudy,0.74,0.697,0.7,0.0,13
3469,Fall,0,10,20,0,2,1,Clear or partly cloudy,0.46,0.4545,0.67,0.1045,248
3470,Winter,0,1,8,0,0,0,Clear or partly cloudy,0.06,0.0758,0.62,0.1642,19
3471,Spring,0,5,15,0,3,1,Clear or partly cloudy,0.64,0.6212,0.41,0.0,179
3472,Spring,1,6,6,0,3,1,Misty and/or cloudy,0.64,0.5758,0.89,0.0896,165
3473,Summer,1,6,1,0,0,0,Misty and/or cloudy,0.68,0.6364,0.54,0.0896,127
3474,Spring,0,6,3,0,0,0,Misty and/or cloudy,0.62,0.6061,0.65,0.1642,47
3475,Summer,1,9,7,0,0,0,Clear or partly cloudy,0.54,0.5152,0.73,0.1642,70
3476,Fall,1,10,15,0,4,1,Clear or partly cloudy,0.62,0.6061,0.65,0.1343,305
3477,Summer,0,9,9,0,1,1,Clear or partly cloudy,0.64,0.6061,0.69,0.0,176
3478,Fall,1,10,11,0,2,1,Clear or partly cloudy,0.6,0.6212,0.53,0.0,253
3479,Spring,1,4,5,0,4,1,Misty and/or cloudy,0.48,0.4697,0.63,0.1343,17
3480,Winter,0,2,3,0,2,1,Light snow or light rain,0.28,0.2727,0.93,0.1642,1
3481,Spring,1,6,21,0,4,1,Clear or partly cloudy,0.64,0.6061,0.65,0.1642,337
3482,Summer,0,9,4,0,3,1,Misty and/or cloudy,0.54,0.5152,1.0,0.1343,7
3483,Summer,0,7,2,0,0,0,Clear or partly cloudy,0.68,0.6364,0.69,0.0896,96
3484,Winter,0,2,13,0,3,1,Clear or partly cloudy,0.18,0.1667,0.4,0.2537,69
3485,Fall,0,10,11,0,6,0,Clear or partly cloudy,0.56,0.5303,0.4,0.3881,374
3486,Winter,1,1,1,0,2,1,Misty and/or cloudy,0.22,0.2424,0.93,0.1045,5
3487,Spring,0,6,16,0,2,1,Clear or partly cloudy,0.8,0.7121,0.38,0.2239,308
3488,Spring,0,4,4,0,2,1,Clear or partly cloudy,0.56,0.5303,0.83,0.2537,6
3489,Winter,1,3,22,0,1,1,Misty and/or cloudy,0.56,0.5303,0.73,0.1642,148
3490,Fall,1,10,15,0,2,1,Clear or partly cloudy,0.68,0.6364,0.41,0.2239,346
3491,Fall,0,12,1,0,0,0,Clear or partly cloudy,0.2,0.2273,0.69,0.1045,46
3492,Spring,1,5,4,0,6,0,Clear or partly cloudy,0.44,0.4394,0.67,0.1045,9
3493,Summer,0,9,18,0,0,0,Misty and/or cloudy,0.56,0.5303,0.6,0.1045,289
3494,Winter,1,1,14,0,5,1,Clear or partly cloudy,0.5,0.4848,0.55,0.5522,176
3495,Spring,1,5,23,0,3,1,Light snow or light rain,0.48,0.4697,0.82,0.194,55
3496,Fall,1,12,12,0,5,1,Misty and/or cloudy,0.34,0.3333,0.71,0.194,240
3497,Winter,0,3,3,0,0,0,Clear or partly cloudy,0.28,0.2727,0.56,0.2537,12
3498,Winter,0,2,15,0,6,0,Light snow or light rain,0.22,0.2727,1.0,0.0,60
3499,Summer,1,6,9,0,5,1,Clear or partly cloudy,0.76,0.697,0.55,0.1642,300
3500,Summer,1,7,0,0,2,1,Clear or partly cloudy,0.72,0.6667,0.54,0.0,53
3501,Spring,1,5,22,0,1,1,Misty and/or cloudy,0.62,0.5909,0.73,0.1642,142
3502,Fall,0,11,21,0,2,1,Misty and/or cloudy,0.38,0.3939,0.87,0.2537,125
3503,Summer,1,7,20,0,4,1,Clear or partly cloudy,0.86,0.8182,0.5,0.2537,446
3504,Summer,1,8,6,0,2,1,Misty and/or cloudy,0.7,0.6667,0.79,0.194,179
3505,Fall,0,10,13,0,2,1,Misty and/or cloudy,0.6,0.5909,0.73,0.194,180
3506,Spring,0,6,4,0,3,1,Misty and/or cloudy,0.68,0.6364,0.89,0.2239,4
3507,Fall,0,11,4,0,6,0,Clear or partly cloudy,0.28,0.2576,0.56,0.3284,8
3508,Spring,1,4,5,0,2,1,Clear or partly cloudy,0.34,0.3333,0.71,0.1343,24
3509,Winter,0,2,22,0,0,0,Misty and/or cloudy,0.32,0.303,0.57,0.2239,47
3510,Winter,1,3,10,0,2,1,Clear or partly cloudy,0.54,0.5152,0.88,0.194,163
3511,Winter,1,2,4,0,2,1,Clear or partly cloudy,0.32,0.2879,0.42,0.3582,2
3512,Summer,1,8,1,0,6,0,Clear or partly cloudy,0.66,0.6212,0.74,0.2239,116
3513,Spring,0,5,9,0,1,1,Clear or partly cloudy,0.54,0.5152,0.56,0.1642,178
3514,Fall,0,10,14,0,6,0,Misty and/or cloudy,0.42,0.4242,0.71,0.3582,180
3515,Fall,1,12,18,0,5,1,Clear or partly cloudy,0.36,0.3485,0.46,0.1343,455
3516,Fall,1,11,8,0,6,0,Misty and/or cloudy,0.34,0.303,0.46,0.2985,142
3517,Summer,1,8,8,0,6,0,Clear or partly cloudy,0.66,0.6061,0.83,0.1045,162
3518,Fall,0,12,23,0,4,1,Clear or partly cloudy,0.24,0.2576,0.7,0.1045,61
3519,Summer,1,8,17,0,2,1,Misty and/or cloudy,0.78,0.7424,0.62,0.1343,868
3520,Fall,1,11,18,0,2,1,Clear or partly cloudy,0.34,0.3182,0.49,0.2836,559
3521,Winter,1,1,23,0,4,1,Clear or partly cloudy,0.24,0.2576,0.7,0.1045,60
3522,Winter,0,12,10,0,6,0,Clear or partly cloudy,0.3,0.2576,0.42,0.4925,56
3523,Summer,0,7,2,0,0,0,Clear or partly cloudy,0.8,0.7879,0.63,0.0896,60
3524,Winter,0,1,19,0,4,1,Clear or partly cloudy,0.22,0.2576,0.55,0.0896,112
3525,Spring,1,4,22,0,1,1,Misty and/or cloudy,0.52,0.5,0.55,0.1642,134
3526,Spring,1,5,20,0,3,1,Misty and/or cloudy,0.62,0.5758,0.83,0.0896,295
3527,Winter,0,2,6,0,0,0,Clear or partly cloudy,0.24,0.2879,0.87,0.0,3
3528,Spring,0,4,9,0,4,1,Light snow or light rain,0.62,0.5606,0.88,0.3284,183
3529,Winter,0,3,22,0,5,1,Clear or partly cloudy,0.3,0.303,0.52,0.1642,64
3530,Spring,1,4,13,0,2,1,Clear or partly cloudy,0.5,0.4848,0.29,0.3881,224
3531,Summer,0,7,22,0,5,1,Clear or partly cloudy,0.66,0.6212,0.57,0.2239,223
3532,Summer,0,8,20,0,4,1,Clear or partly cloudy,0.66,0.6061,0.83,0.1045,165
3533,Summer,0,9,8,0,4,1,Misty and/or cloudy,0.6,0.5,1.0,0.1642,415
3534,Summer,1,8,6,0,1,1,Misty and/or cloudy,0.7,0.6667,0.79,0.2239,141
3535,Winter,missing,3,19,0,4,1,Clear or partly cloudy,0.48,0.4697,0.41,0.3284,328
3536,Winter,0,1,14,0,3,1,Clear or partly cloudy,0.2,0.1818,0.47,0.3284,44
3537,Fall,1,10,4,0,3,1,Misty and/or cloudy,0.46,0.4545,0.88,0.1045,6
3538,Spring,0,4,8,0,1,1,Clear or partly cloudy,0.46,0.4545,0.63,0.0,297
3539,Summer,0,7,2,0,6,0,Clear or partly cloudy,0.82,0.7727,0.52,0.0,61
3540,Spring,1,3,17,0,4,1,Clear or partly cloudy,0.66,0.6212,0.65,0.1642,810
3541,Winter,1,1,9,0,4,1,Misty and/or cloudy,0.3,0.3333,0.81,0.0,274
3542,Fall,0,10,15,0,2,1,Clear or partly cloudy,0.62,0.6212,0.5,0.194,205
3543,Fall,0,10,7,0,2,1,Misty and/or cloudy,0.52,0.5,0.88,0.0896,352
3544,Summer,0,7,23,0,2,1,Clear or partly cloudy,0.74,0.697,0.66,0.1642,73
3545,Summer,0,8,1,0,1,1,Clear or partly cloudy,0.68,0.6364,0.83,0.1343,12
3546,Winter,0,3,7,0,3,1,Misty and/or cloudy,0.3,0.2879,0.93,0.194,111
3547,Fall,1,10,0,0,3,1,Clear or partly cloudy,0.38,0.3939,0.76,0.0,49
3548,Fall,0,12,13,0,2,1,Light snow or light rain,0.46,0.4545,1.0,0.194,71
3549,Fall,1,10,17,0,5,1,Clear or partly cloudy,0.7,0.6364,0.42,0.1642,900
3550,Spring,0,3,12,0,5,1,Clear or partly cloudy,0.32,0.303,0.42,0.2537,145
3551,Fall,1,10,23,0,6,0,Clear or partly cloudy,0.42,0.4242,0.58,0.0,163
3552,Spring,0,4,6,0,2,1,Misty and/or cloudy,0.48,0.4697,0.88,0.3284,38
3553,Spring,1,3,20,0,6,0,Light snow or light rain,0.44,0.4394,1.0,0.194,111
3554,Summer,1,9,12,0,3,1,Clear or partly cloudy,0.6,0.6212,0.43,0.2537,313
3555,Summer,1,8,10,0,0,0,Clear or partly cloudy,0.7,0.6515,0.51,0.1642,328
3556,Summer,0,9,6,0,0,0,Clear or partly cloudy,0.64,0.5758,0.84,0.2239,3
3557,Fall,0,10,6,0,1,1,Clear or partly cloudy,0.5,0.4848,0.55,0.2537,114
3558,Winter,0,1,23,0,3,1,Clear or partly cloudy,0.3,0.2727,0.52,0.4627,28
3559,Winter,1,1,8,0,0,0,Misty and/or cloudy,0.16,0.1515,0.74,0.2239,32
3560,Fall,0,10,5,0,6,0,Clear or partly cloudy,0.42,0.4242,0.71,0.1642,7
3561,Winter,0,1,20,0,2,1,Light snow or light rain,0.16,0.1515,0.93,0.194,32
3562,Summer,1,8,3,0,1,1,Clear or partly cloudy,0.64,0.6061,0.69,0.0,6
3563,Winter,0,12,13,0,3,1,Light snow or light rain,0.44,0.4394,0.94,0.2985,58
3564,Summer,0,8,5,0,4,1,Clear or partly cloudy,0.64,0.5909,0.78,0.2836,27
3565,Summer,0,7,16,0,4,1,Clear or partly cloudy,0.86,0.803,0.47,0.1642,256
3566,Summer,0,8,18,0,2,1,Clear or partly cloudy,0.8,0.7576,0.55,0.194,585
3567,Winter,0,2,19,0,3,1,Clear or partly cloudy,0.3,0.3333,0.33,0.0,141
3568,Fall,1,12,3,0,5,1,Misty and/or cloudy,0.26,0.2576,0.81,0.194,5
3569,Spring,1,6,15,0,1,1,Clear or partly cloudy,0.8,0.7121,0.41,0.3582,259
3570,Fall,1,12,3,0,1,1,Clear or partly cloudy,0.38,0.3939,0.87,0.0,8
3571,Fall,1,10,10,0,5,1,Clear or partly cloudy,0.66,0.6212,0.54,0.0,260
3572,Spring,1,6,11,0,3,1,Clear or partly cloudy,0.62,0.6212,0.43,0.0896,226
3573,Summer,1,7,7,0,3,1,Clear or partly cloudy,0.74,0.697,0.66,0.1642,495
3574,Spring,0,5,17,0,4,1,Clear or partly cloudy,0.56,0.5303,0.78,0.1642,547
3575,Summer,0,9,23,0,0,0,Misty and/or cloudy,0.72,0.6818,0.7,0.1642,104
3576,Winter,1,1,9,0,2,1,Clear or partly cloudy,0.16,0.1364,0.5,0.2836,153
3577,Summer,0,9,10,0,5,1,Misty and/or cloudy,0.62,0.5152,1.0,0.0,29
3578,Winter,0,12,16,0,0,0,Clear or partly cloudy,0.36,0.3636,0.57,0.1045,86
3579,Winter,1,3,18,0,2,1,Clear or partly cloudy,0.7,0.6364,0.34,0.2985,734
3580,Summer,1,9,5,0,1,1,Clear or partly cloudy,0.48,0.4697,0.82,0.0896,45
3581,Spring,0,6,15,0,4,1,Clear or partly cloudy,0.8,0.6818,0.21,0.3881,188
